date,open,high,low,close
2024-07-22,1.08836,1.0903,1.08731,1.08907
2024-07-23,1.08898,1.08969,1.0844,1.0853
2024-07-24,1.08539,1.08667,1.08258,1.08404
2024-07-25,1.08408,1.08701,1.08285,1.08452
2024-07-26,1.08465,1.08684,1.08422,1.08554
2024-07-29,1.08587,1.08701,1.08029,1.08211
2024-07-30,1.08223,1.08359,1.07984,1.08151
2024-07-31,1.08145,1.08495,1.0802,1.08265
2024-08-01,1.08244,1.08356,1.07776,1.07915
2024-08-02,1.07914,1.09267,1.07819,1.09118
2024-08-05,1.09229,1.10088,1.08928,1.09513
2024-08-06,1.09492,1.09632,1.09039,1.09319
2024-08-07,1.09294,1.09368,1.09055,1.0923
2024-08-08,1.09205,1.09452,1.08817,1.09189
2024-08-09,1.09161,1.09315,1.09092,1.09159
2024-08-12,1.09169,1.09396,1.09102,1.09322
2024-08-13,1.09312,1.09998,1.09139,1.09948
2024-08-14,1.09857,1.10475,1.09834,1.10126
2024-08-15,1.10134,1.10158,1.09497,1.09719
2024-08-16,1.09718,1.10298,1.09711,1.10269
2024-08-19,1.1028,1.10865,1.10228,1.10854
2024-08-20,1.10827,1.11308,1.10721,1.11299
2024-08-21,1.11281,1.11742,1.10994,1.11502
2024-08-22,1.11521,1.1165,1.10983,1.11114
2024-08-23,1.11118,1.12011,1.11056,1.11937
2024-08-26,1.1191,1.12016,1.11502,1.11612
2024-08-27,1.11618,1.11907,1.11501,1.11844
2024-08-28,1.11826,1.11856,1.11051,1.11202
2024-08-29,1.11195,1.114,1.10557,1.10777
2024-08-30,1.10777,1.10951,1.10439,1.10485
2024-09-02,1.10497,1.10775,1.10422,1.10725
2024-09-03,1.10704,1.1073,1.10265,1.10436
2024-09-04,1.10422,1.10952,1.10396,1.1083
2024-09-05,1.10835,1.11198,1.10749,1.11108
2024-09-06,1.11101,1.11557,1.10658,1.10863
2024-09-09,1.10831,1.10913,1.10337,1.10352
2024-09-10,1.10383,1.10498,1.10153,1.10194
2024-09-11,1.10193,1.10549,1.10021,1.10114
2024-09-12,1.10142,1.10752,1.10056,1.10749
2024-09-13,1.10739,1.1102,1.10705,1.10747
2024-09-16,1.10783,1.11378,1.10759,1.11329
2024-09-17,1.11329,1.11465,1.1111,1.11134
2024-09-18,1.1115,1.11892,1.10968,1.11191
2024-09-19,1.11172,1.1179,1.10686,1.11621
2024-09-20,1.11626,1.1182,1.11362,1.11631
2024-09-23,1.11646,1.11674,1.10834,1.11114
2024-09-24,1.11114,1.11811,1.11036,1.11797
2024-09-25,1.11799,1.12141,1.11217,1.11329
2024-09-26,1.11331,1.11894,1.11259,1.11769
2024-09-27,1.11768,1.12032,1.1125,1.11593
2024-09-30,1.11621,1.12091,1.11138,1.11352
2024-10-01,1.11346,1.11442,1.10459,1.1068
2024-10-02,1.10685,1.1083,1.10328,1.10449
2024-10-03,1.1045,1.10504,1.10085,1.10308
